"";"country";"year";"imports";"exports"
"1";"Czech Republic";2018;149,7995;162,3282
"2";"Czech Republic";2019;153,1691;166,6798
"3";"Czech Republic";2020;136,3876;150,9527
"4";"Czech Republic";2021;166,2285;173,2846
"5";"Czech Republic";2022;208,5116;211,2236
"6";"Czech Republic";2023;204,73;220,3261
"7";"Czech Republic";1990;8,2931;8,9268
"8";"Czech Republic";1991;8,3461;9,7615
"9";"Czech Republic";1992;10,3155;10,6333
"10";"Czech Republic";1993;13,5175;13,9044
"11";"Czech Republic";1994;15,4029;14,9396
"12";"Czech Republic";1995;19,8879;18,4724
"13";"Czech Republic";1996;22,7846;20,2202
"14";"Czech Republic";1997;24,3204;22,0573
"15";"Czech Republic";1998;25,2932;25,1315
"16";"Czech Republic";1999;26,3495;26,0938
"17";"Czech Republic";2000;33,4462;32,2107
"18";"Czech Republic";2001;37,9059;36,9605
"19";"Czech Republic";2002;40,3957;39,2834
"20";"Czech Republic";2003;42,455;41,3955
"21";"Czech Republic";2004;54,2827;55,063
"22";"Czech Republic";2005;65,5938;68,1686
"23";"Czech Republic";2006;77,3988;80,795
"24";"Czech Republic";2007;88,4654;91,847
"25";"Czech Republic";2008;98,5005;101,9911
"26";"Czech Republic";2009;81,4906;87,2533
"27";"Czech Republic";2010;98,6346;103,4802
"28";"Czech Republic";2011;110,692;116,9737
"29";"Czech Republic";2012;115,2112;122,9643
"30";"Czech Republic";2013;112,1669;121,2588
"31";"Czech Republic";2014;119,3461;129,3167
"32";"Czech Republic";2015;128,2695;138,5046
"33";"Czech Republic";2016;127,2724;140,1246
"34";"Czech Republic";2017;138,0585;151,0521
"35";"Belgium";2018;383,7521;382,2085
"36";"Belgium";2019;391,4089;394,4157
"37";"Belgium";2020;353,0793;362,2934
"38";"Belgium";2021;437,6317;446,5929
"39";"Belgium";2022;539,4212;530,3949
"40";"Belgium";2023;512,2769;506,8242
"41";"Bulgaria";2018;35,51383;36,92862
"42";"Bulgaria";2019;37,37582;39,34619
"43";"Bulgaria";2020;33,39004;34,58092
"44";"Bulgaria";2021;42,33306;43,6317
"45";"Bulgaria";2022;59,19288;59,36893
"46";"Bulgaria";2023;54,22342;57,19725
"47";"Denmark";2018;152,4203;170,9973
"48";"Denmark";2019;159,6472;181,5294
"49";"Denmark";2020;151,4312;171,6186
"50";"Denmark";2021;178,3712;201,3279
"51";"Denmark";2022;224,2507;266,4809
"52";"Denmark";2023;222,168;257,9232
"53";"Germany";2018;1386,936;1592,156
"54";"Germany";2019;1431,014;1637,264
"55";"Germany";2020;1282,198;1479,839
"56";"Germany";2021;1515,045;1710,313
"57";"Germany";2022;1897,947;1974,224
"58";"Germany";2023;1770,998;1942,519
"59";"Estonia";2018;18,5665;19,2738
"60";"Estonia";2019;19,36897;20,50474
"61";"Estonia";2020;19,13639;18,98457
"62";"Estonia";2021;25,3317;25,01905
"63";"Estonia";2022;31,08172;30,89098
"64";"Estonia";2023;29,30838;29,53525
"65";"Ireland";2018;307,9853;401,0533
"66";"Ireland";2019;443,633;456,1526
"67";"Ireland";2020;428,237;498,8537
"68";"Ireland";2021;406,5733;580,5221
"69";"Ireland";2022;492,0031;694,0513
"70";"Ireland";2023;507,7095;676,8772
"71";"Greece";2018;73,9008;70,0148
"72";"Greece";2019;76,5937;73,5421
"73";"Greece";2020;65,637;52,9108
"74";"Greece";2021;88,4163;74,3095
"75";"Greece";2022;121,6167;101,5267
"76";"Greece";2023;109,7017;98,8465
"77";"Spain";2018;390,41;423,097
"78";"Spain";2019;398,153;434,77
"79";"Spain";2020;328,32;344,423
"80";"Spain";2021;405,982;417,735
"81";"Spain";2022;534,006;550,319
"82";"Spain";2023;509,212;569,493
"83";"France";2018;773,375;749,491
"84";"France";2019;793,436;770,099
"85";"France";2020;682,704;633,411
"86";"France";2021;798,609;751,511
"87";"France";2022;1017,725;915,406
"88";"France";2023;978,217;916,037
"89";"Croatia";2018;26,49596;26,04547
"90";"Croatia";2019;28,38232;28,15727
"91";"Croatia";2020;24,47613;20,93611
"92";"Croatia";2021;30,67392;29,06864
"93";"Croatia";2022;44,43244;40,22704
"94";"Croatia";2023;42,74262;41,31237
"95";"Italy";2018;512,8177;555,3941
"96";"Italy";2019;508,0304;567,7844
"97";"Italy";2020;429,1552;488,9407
"98";"Italy";2021;545,7611;585,0763
"99";"Italy";2022;748,5742;716,584
"100";"Italy";2023;702,2127;731,0189
"101";"Cyprus";2018;15,9443;16,2492
"102";"Cyprus";2019;17,4893;17,7282
"103";"Cyprus";2020;18,1217;17,82
"104";"Cyprus";2021;21,3008;22,2876
"105";"Cyprus";2022;26,3103;26,3986
"106";"Cyprus";2023;26,9073;26,6337
"107";"Latvia";2018;18,123;17,91747
"108";"Latvia";2019;18,56449;18,35015
"109";"Latvia";2020;17,89887;18,29189
"110";"Latvia";2021;22,5915;21,54049
"111";"Latvia";2022;29,74175;27,98105
"112";"Latvia";2023;27,40056;25,8468
"113";"Lithuania";2018;33,40334;34,22991
"114";"Lithuania";2019;35,21735;37,81807
"115";"Lithuania";2020;31,82633;36,45633
"116";"Lithuania";2021;42,68085;45,21977
"117";"Lithuania";2022;59,88804;58,53425
"118";"Lithuania";2023;53,73989;56,50515
"119";"Luxembourg";2018;99,1534;118,7401
"120";"Luxembourg";2019;109,84;128,866
"121";"Luxembourg";2020;109,1435;131,0619
"122";"Luxembourg";2021;130,1906;154,2898
