cntry,country,year,pop,unempl,gdp,gov_debt,date,imports,exports,debt_share_country,debt_share_year
BEL,Belgium,1991,10,6.4,171.1604,NA,1991-01-01,99463,102.0142,NA,0.570213812191712
BGR,Bulgaria,1991,8.63,NA,4.42781,NA,1991-01-01,1.04864,1.57706,NA,0.570213812191712
CZE,Czech Republic,1991,10.31,NA,25.1827,NA,1991-01-01,8.3461,9.7615,NA,0.570213812191712
DNK,Denmark,1991,5.15,7.9,112.6055,NA,1991-01-01,35.4302,42.4326,NA,0.570213812191712
DEU,Germany,1991,80.01,5.6,1506.67,NA,1991-01-01,365288,357531,NA,0.570213812191712
EST,Estonia,1991,1.56,NA,NA,NA,1991-01-01,NA,NA,NA,0.570213812191712
IRL,Ireland,1991,3.53,14.7,40.3278,NA,1991-01-01,20.4898,22.3928,NA,0.570213812191712
GRC,Greece,1991,10.32,7.1,85.0924,NA,1991-01-01,20.75683,12.08284,NA,0.570213812191712
ESP,Spain,1991,38.97,15.5,465557,NA,1991-01-01,91.5967,73.7264,NA,0.570213812191712
FRA,France,1991,58.46,8.1,1032017,NA,1991-01-01,221.8685,218.4614,NA,0.570213812191712
HRV,Croatia,1991,4.69,NA,NA,NA,1991-01-01,NA,NA,NA,0.570213812191712
ITA,Italy,1991,56.76,8.5,1005013,947.8,1991-01-01,169.7797,171.7484,0.943072378168243,0.570213812191712
CYP,Cyprus,1991,0.6,NA,5.23251,NA,1991-01-01,4.04737,3.52797,NA,0.570213812191712
LVA,Latvia,1991,2.65,0.5,NA,NA,1991-01-01,NA,NA,NA,0.570213812191712
LTU,Lithuania,1991,3.7,0.3,NA,NA,1991-01-01,NA,NA,NA,0.570213812191712
LUX,Luxembourg,1991,0.39,1.6,11.5827,NA,1991-01-01,9.9606,11.3158,NA,0.570213812191712
HUN,Hungary,1991,10.37,NA,18.2107,NA,1991-01-01,5.3934,5.2484,NA,0.570213812191712
MLT,Malta,1991,0.36,4.7,2.29976,NA,1991-01-01,2.76356,2.60717,NA,0.570213812191712
NLD,Netherlands,1991,15.07,5.7,261.5725,NA,1991-01-01,131.2196,145.1324,NA,0.570213812191712
AUT,Austria,1991,7.75,3.5,140273,NA,1991-01-01,49.8159,48.6383,NA,0.570213812191712
POL,Poland,1991,38.25,NA,44.8633,NA,1991-01-01,10.2717,9.55,NA,0.570213812191712
PRT,Portugal,1991,9.96,5,72534,NA,1991-01-01,25.18363,18.42948,NA,0.570213812191712
ROM,Romania,1991,23,NA,16.0921,NA,1991-01-01,3.1801,2.61308,NA,0.570213812191712
SVN,Slovenia,1991,2,NA,10.04382,NA,1991-01-01,6.66453,7.40522,NA,0.570213812191712
SVK,Slovakia,1991,5.3,NA,NA,NA,1991-01-01,NA,NA,NA,0.570213812191712
FIN,Finland,1991,5.01,6.6,103.3669,20.4,1991-01-01,22.95035,21.96971,0.197355246215181,0.570213812191712
SWE,Sweden,1991,8.62,3.1,217195,NA,1991-01-01,55.0514,58.7594,NA,0.570213812191712
GBR,United Kingdom,1991,57.42,8.6,995758,NA,1991-01-01,205.6765,202.2899,NA,0.570213812191712
